Type an 'x' in this column to bookmark this school in the 'Programs' tab,School Name,"School DBN Code (Link to NYC School Finder)",Borough,Number of Programs at School,10th Grade Seats Offered?,School Type,"Neighborhood (Link to map of school address)","School Graduation Rate (Links to School Quality Snapshot)",Student Attendance Rate,Percent of students who feel safe,AP Courses Offered? (Link to AP Courses tab),Bilingual Programs at School?,CTE Offered? (Link to CTE Programs tab),Site Accessibility,DBN Ref,Bookmark
,University Heights Secondary School,07X495,BX,2,Yes,Performance Assessment School,Melrose S.-Mott Haven N.,97%,93%,93%,Yes,,,Not Accessible,07X495,0
,University Neighborhood High School,01M448,M,3,Yes,,Lower East Side,84%,88%,91%,Yes,,,Not Accessible,01M448,0
,Urban Action Academy,18K642,BK,1,,,Canarsie,60%,84%,83%,Yes,,Yes,Not Accessible,18K642,0
,"Urban Assembly Academy of Government and Law, The",02M305,M,1,Yes,,Chinatown,87%,86%,86%,Yes,,,Not Accessible,02M305,0
,Urban Assembly Gateway School for Technology,02M507,M,1,,,Clinton,89%,90%,91%,Yes,,Yes,Not Accessible,02M507,0
,Urban Assembly High School of Music and Art,13K350,BK,1,Yes,,DUMBO-Downtown Brooklyn,56%,82%,82%,Yes,,,Accessible,13K350,0
,Urban Assembly Institute of Math and Science for Young Women,13K527,BK,1,Yes,Female Students Only,DUMBO-Downtown Brooklyn,84%,91%,89%,,,,Accessible,13K527,0
,Urban Assembly Maker Academy,02M282,M,1,Yes,,Chinatown,N/A,91%,90%,,,Yes,Accessible,02M282,0
,Urban Assembly New York Harbor School,02M551,M,2,Yes,,Governors Island,78%,90%,89%,Yes,,Yes,Accessible,02M551,0
,"Urban Assembly School for Applied Math and Science, The",09X241,BX,1,,,Claremont-Bathgate,88%,90%,87%,Yes,,,Accessible,09X241,0
,Urban Assembly School for Careers in Sports,07X548,BX,1,Yes,,E. Concourse-Concourse Village,79%,80%,90%,Yes,,,Accessible,07X548,0
,Urban Assembly School for Criminal Justice,20K609,BK,1,Yes,Female Students Only,Borough Park,90%,91%,89%,Yes,,,Accessible,20K609,0
,"Urban Assembly School for Media Studies, The",03M307,M,1,Yes,,Lincoln Square,72%,84%,86%,Yes,,,Accessible,03M307,0
,Urban Assembly School for the Performing Arts,05M369,M,1,Yes,,Manhattanville,77%,81%,87%,Yes,,,Not Accessible,05M369,0
,Urban Assembly School for Wildlife Conservation,12X372,BX,1,,,East Tremont,77%,84%,82%,Yes,,,Not Accessible,12X372,0
,"Urban Assembly School of Business for Young Women, The",02M316,M,2,Yes,Female Students Only,Lower Manhattan,76%,80%,85%,Yes,,,Accessible,02M316,0
,"Urban Assembly School of Design and Construction, The",02M300,M,1,,,Clinton,62%,83%,84%,Yes,,,Accessible,02M300,0
,Validus Preparatory Academy: An Expeditionary Learning School,09X263,BX,1,,,Claremont-Bathgate,62%,84%,91%,Yes,,,Accessible,09X263,0
,Vanguard High School,02M449,M,1,,Performance Assessment School,Lenox Hill,73%,87%,94%,Yes,,,Accessible,02M449,0
,Veritas Academy,25Q240,Q,1,Yes,,Flushing,N/A,91%,81%,Yes,,,Not Accessible,25Q240,0
,Victory Collegiate High School,18K576,BK,1,Yes,,Canarsie,73%,91%,94%,Yes,,,Accessible,18K576,0
,W. H. Maxwell Career and Technical Education High School,19K660,BK,3,Yes,,East New York,58%,73%,83%,Yes,,Yes,Accessible,19K660,0
,W.E.B. DuBois Academic High School,17K489,BK,1,Yes,Transfer School,Crown Heights,N/A,62%,84%,,,,Accessible,17K489,0
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,M,6,Yes,,Central Harlem South,64%,78%,84%,Yes,,,Accessible,03M415,0
,Washington Heights Expeditionary Learning School (WHEELS),06M348,M,1,,,Washington Heights N.,74%,86%,94%,Yes,DL: Spanish,,Accessible,06M348,0
,West Bronx Academy for the Future,10X243,BX,1,,,Belmont,82%,88%,81%,Yes,,,Accessible,10X243,0
,Westchester Square Academy,08X558,BX,2,Yes,,Schuylerville-Throgs Neck,N/A,87%,80%,Yes,,,Accessible,08X558,0
,William Cullen Bryant High School,30Q445,Q,5,Yes,,Astoria,68%,88%,76%,Yes,TBE: Spanish,Yes,Not Accessible,30Q445,0
,William E. Grady Career and Technical Education High School,21K620,BK,5,Yes,,Brighton Beach,62%,82%,76%,Yes,,Yes,Not Accessible,21K620,0
,Williamsburg High School for Architecture and Design,14K558,BK,1,,,Williamsburg,93%,92%,98%,Yes,,Yes,Accessible,14K558,0
,Williamsburg Preparatory School,14K561,BK,1,Yes,,Williamsburg,91%,91%,91%,Yes,,,Accessible,14K561,0
,Wings Academy,12X684,BX,1,,,East Tremont,62%,82%,77%,Yes,,,Accessible,12X684,0
,Women's Academy of Excellence,08X282,BX,1,,Female Students Only,Castle Hill-Clason Point,61%,79%,63%,,,,Accessible,08X282,0
,World Academy for Total Community Health High School (WATCH),19K510,BK,3,Yes,,East New York,68%,81%,76%,Yes,,Yes,Not Accessible,19K510,0
,World Journalism Preparatory: A College Board School,25Q285,Q,2,,,Auburndale,97%,92%,88%,Yes,,,Accessible,25Q285,0
,World View High School,10X353,BX,2,Yes,,Van Cortlandt Village,N/A,90%,81%,,TBE: Spanish,,Accessible,10X353,0
,York Early College Academy,28Q284,Q,1,,Early College,South Jamaica,94%,96%,91%,,,,Accessible,28Q284,0
,Young Women’s Leadership School (TYWLS),04M610,M,1,Yes,Female Students Only,East Harlem South,99%,95%,90%,Yes,,,Accessible,04M610,0
,Young Women's Leadership School of Brooklyn (TYWLS),14K614,BK,1,,Female Students Only,Bushwick,100%,92%,90%,Yes,,,Not Accessible,14K614,0
,Young Women's Leadership School of the Bronx (TYWLS),09X568,BX,1,Yes,Female Students Only,Mount Hope,N/A,94%,92%,,,,Not Accessible,09X568,0
,"Young Women's Leadership School, Astoria (TYWLS)",30Q286,Q,1,Yes,Female Students Only,Old Astoria,96%,94%,97%,,,,Accessible,30Q286,0
,"Young Women's Leadership School, Queens (TYWLS)",28Q896,Q,1,,Female Students Only,Briarwood-Jamaica Hills,88%,91%,84%,Yes,,,Accessible,28Q896,0
