Type an 'x' in this column to bookmark this school in the 'Programs' tab,School Name,"School DBN Code (Link to NYC School Finder)",Borough,Number of Programs at School,10th Grade Seats Offered?,School Type,"Neighborhood (Link to map of school address)","School Graduation Rate (Links to School Quality Snapshot)",Student Attendance Rate,Percent of students who feel safe,AP Courses Offered? (Link to AP Courses tab),Bilingual Programs at School?,CTE Offered? (Link to CTE Programs tab),Site Accessibility,DBN Ref,Bookmark
,Discovery High School,10X549,BX,1,Yes,,Van Cortlandt Village,60%,86%,84%,Yes,,,Accessible,10X549,0
,Dr. Susan S. McKinney Secondary School of the Arts,13K265,BK,5,Yes,,Fort Greene,51%,79%,79%,Yes,,,Not Accessible,13K265,0
,DreamYard Preparatory School,09X329,BX,1,Yes,,E. Concourse-Concourse Village,61%,79%,85%,Yes,,,Accessible,09X329,0
,Eagle Academy for Young Men,09X231,BX,1,Yes,Male Students Only,Claremont-Bathgate,71%,86%,69%,,,,Not Accessible,09X231,0
,Eagle Academy for Young Men II,23K644,BK,1,,Male Students Only,Ocean Hill,95%,91%,86%,Yes,,,Not Accessible,23K644,0
,Eagle Academy for Young Men III,29Q327,Q,1,Yes,Male Students Only,St. Albans,N/A,90%,74%,,,,Accessible,29Q327,0
,Eagle Academy for Young Men of Harlem,05M148,M,1,,Male Students Only,Central Harlem North,N/A,88%,88%,,,,Not Accessible,05M148,0
,East Bronx Academy for the Future,12X271,BX,1,,,Crotona Park East,78%,81%,86%,Yes,,,Accessible,12X271,0
,East New York Family Academy,19K409,BK,1,,,East New York,87%,88%,88%,Yes,,,Not Accessible,19K409,0
,East Side Community School,01M450,M,1,Yes,Performance Assessment School,East Village,86%,94%,94%,Yes,,,Not Accessible,01M450,0
,East-West School of International Studies,25Q281,Q,2,Yes,,Flushing,89%,91%,91%,Yes,,,Accessible,25Q281,0
,EBC High School for Public Service - Bushwick,32K545,BK,1,Yes,,Bushwick,63%,85%,86%,Yes,,,Accessible,32K545,0
,Edward R. Murrow High School,21K525,BK,7,Yes,,Midwood,82%,92%,85%,Yes,"TBE: Chinese, Spanish",Yes,Accessible,21K525,0
,El Puente Academy for Peace and Justice,14K685,BK,1,,Performance Assessment School,Williamsburg,66%,85%,94%,,,,Not Accessible,14K685,0
,Eleanor Roosevelt High School,02M416,M,1,Yes,,Lenox Hill,100%,97%,98%,Yes,,,Accessible,02M416,0
,Energy Tech High School,30Q258,Q,1,Yes,"Early College, 9-14 School",Queensbridge-LIC,N/A,95%,93%,,,Yes,Not Accessible,30Q258,0
