Bookmarked Schools,School Name,School DBN,Neighborhood,Subway Information,Bus Information
,"HERO High (Health, Education, and Research Occupations High School)",07X259,Mott Haven-Port Morris,"2, 5 to Jackson Ave ; 6 to East 143rd St-St Mary's St","Bx17, Bx19, Bx33, Bx4, Bx4A"
,High School for Arts and Business,24Q550,Corona,N/A,"Q23, Q38, Q58, Q88, QM10, QM11, QM12"
,High School for Civil Rights,19K504,East New York,3 to Pennsylvania Ave; C to Van Siclen Ave; L to Livonia Ave,"B14, B15, B20, B83"
,High School for Community Leadership,28Q328,Briarwood-Jamaica Hills,F to 169th St,"Q1, Q17, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q6, Q65, Q76, Q77, Q8, X68"
,"High School for Construction Trades, Engineering and Architecture",27Q650,Richmond Hill,"J, Z to 104th St-102nd St","Q11, Q21, Q24, Q37, Q52, Q53, Q56, Q8, QM15"
,High School for Contemporary Arts,11X544,Williamsbridge-Olinville,"2, 5 to Gun Hill Rd","Bx28, Bx30, Bx38, Bx39, Bx41, Bx41-SBS, Bx8, BxM11"
,High School for Dual Language and Asian Studies,02M545,Chinatown,"B, D to Grand St ; F, J, M, Z to Delancey St-Essex St","B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9"
,High School for Energy and Technology,10X565,Belmont,N/A,"Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx22, Bx36, Bx9"
,High School for Environmental Studies,02M400,Clinton,"1, 2, A, B, C, D to 59th St-Columbus Circle ; E to 50th St ; N, Q, R to 57th St","BxM2, M10, M104, M11, M12, M20, M31, M5, M50, M57, M66, M7, X1, X12, X14, X30, X42, X7, X9"
,High School for Excellence and Innovation,06M423,Inwood,1 to Dyckman St ; A to Dyckman St-200th St,"Bx12, Bx12-SBS, Bx20, Bx7, BxM1, M100, M3, M4"
,High School for Health Careers and Sciences,06M468,Washington Heights N.,1 to 191st St ; A to 190th St,"Bx18, Bx40, Bx42, Bx7, M100, M101, M3, M4, M98"
,High School for Health Professions and Human Services,02M420,Gramercy,"4, 5, 6, N, Q, R to 14th St-Union Square ; L to 1st Ave","BM1, BM2, BM3, BM4, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M8, M9, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9"
,High School for Innovation in Advertising and Media,18K617,Canarsie,L to Canarsie – Rockaway Pkwy,"B103, B17, B42, B6, B60, B82, BM2"
,High School for Law and Public Service,06M467,Washington Heights N.,1 to 191st St ; A to 190th St,"Bx18, Bx40, Bx42, Bx7, M100, M101, M3, M4, M98"
,High School for Law Enforcement and Public Safety,28Q690,Baisley Park,N/A,"Q111, Q113, Q114, Q4, Q5, Q6, Q84, Q85, QM21, X63"
,"High School for Law, Advocacy and Community Justice",03M492,Lincoln Square,"1 to 66th St - Lincoln Center ; 2, 3 to 72nd St ; A, B, C, D to 59th St-Columbus Circle","BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X12, X14, X30, X42"
,"High School for Mathematics, Science and Engineering at City College (HSMSE)",05M692,Manhattanville,"1 to 137th St - City College ; A, D to 145th St ; B, C to 135th St","Bx19, Bx33, M10, M100, M101, M11, M2, M3, M4, M5"
,High School for Media and Communications,06M463,Washington Heights N.,1 to 191st St ; A to 190th St,"Bx18, Bx40, Bx42, Bx7, M100, M101, M3, M4, M98"
,High School for Medical Professions,18K633,Canarsie,L to Canarsie – Rockaway Pkwy,"B103, B17, B42, B6, B60, B82, BM2"
,High School for Public Service: Heroes of Tomorrow,17K546,Prospect Lefferts Gardens,"2, 5 to Winthrop St","B12, B17, B43, B44, B44-SBS"
,High School for Service & Learning at Erasmus,17K539,Flatbush,"2, 5, B, Q to Church Ave","B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4"
,High School for Teaching and the Professions,10X433,Van Cortlandt Village,"4, B, D to Kingsbridge Rd","Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, Bx9, BxM3, BxM4"
,High School for Violin and Dance,09X543,Morrisania-Melrose,"2, 5 to Intervale Ave","Bx13, Bx15, Bx17, Bx21, Bx35, Bx4, Bx41, Bx41-SBS, Bx4A, Bx6"
,High School for Youth and Community Development at Erasmus,17K537,Flatbush,"2, 5, B, Q to Church Ave","B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4"
,High School of American Studies at Lehman College,10X696,Van Cortlandt Village,"4 to Bedford Park Blvd - Lehman College ; B, D to Bedford Park Blvd","Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, BxM3, BxM4"
,High School of Applied Communication,24Q267,Hunters Point-Sunnyside,"7 to 33rd St ; E, M, R to Queens Plaza ; G to Court Sq - 23rd St ; N, Q to Queensboro Plaza","B62, Q100, Q101, Q102, Q32, Q39, Q60, Q66, Q67, Q69"
,High School of Arts and Technology,03M494,Lincoln Square,"1 to 66th St - Lincoln Center ; 2, 3 to 72nd St ; A, B, C, D to 59th St-Columbus Circle","BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X12, X14, X30, X42"
,High School of Computers and Technology,11X275,Williamsbridge-Olinville,"2, 5 to Gun Hill Rd","Bx28, Bx30, Bx38, Bx39, Bx41, Bx41-SBS, Bx8, BxM11"
,High School of Economics and Finance,02M489,Lower Manhattan,"1 to Rector St ; 2, 3, A, C to Fulton St-Broadway-Nassau ; 4, 5 to Wall St ; 6 to Brooklyn Bridge - City Hall ; E to World Trade Center ; J, Z to Broad St ; N to South Ferry ; R to Cortlandt St","BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M20, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9"
,High School of Hospitality Management,02M296,Clinton,"C, E to 50th St","M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, X12, X14, X30, X42"
,High School of Language and Innovation,11X509,Bronxdale,"2, 5 to Pelham Parkway","Bx12, Bx12-SBS, Bx26, Bx39, Bx8, BxM11"
,High School of Sports Management,21K348,Gravesend,D to 25th Ave; N to Ave U; N to Gravesend  –  86th St,"B1, B3, B4, B6, B64, B82, X28, X38"
,High School of Telecommunication Arts and Technology,20K485,Bay Ridge,N to 59th St; R to Bay Ridge Ave,"B37, B4, B63, B64, B9, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X31, X37, X38, X4, X42, X5, X7, X8, X9"
,High School of World Cultures,12X550,West Farms-Bronx River,6 to Elder Ave,"Bx11, Bx27, Bx36, Bx4, Bx4A"
,Hillcrest High School,28Q505,Briarwood-Jamaica Hills,"E, J, Z to Jamaica Center - Parsons / Archer ; F to Parsons Blvd","Q1, Q110, Q111, Q112, Q113, Q114, Q17, Q2, Q20A, Q20B, Q24, Q25, Q3, Q30, Q31, Q34, Q36, Q4, Q40, Q41, Q42, Q43, Q44-SBS, Q5, Q54, Q56, Q6, Q65, Q76, Q77, Q8, Q83, Q84, Q9, X68"
,Hillside Arts & Letters Academy,28Q325,Briarwood-Jamaica Hills,F to 169th St,"Q1, Q17, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q6, Q65, Q76, Q77, Q8, X68"
,Holcombe L. Rucker School of Community Research,08X332,Longwood,"2, 5 to Prospect Ave ; 6 to Longwood Ave","Bx17, Bx19, Bx4, Bx46, Bx4A, Bx5, Bx6"
,Hostos-Lincoln Academy of Science,07X500,Melrose S.-Mott Haven N.,"2, 5 to Jackson Ave ; 6 to East 149th St","Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx4A"
