Bookmarked Schools,Program Information,,,,,,,Program Demand,,,,Program Priorities,Selection Criteria (previous year's minimum grades),,,,,,Demonstrated Interest Used?,Additional Requirements?
,School Name,School DBN,Borough,Program Code and Name,Admissions Method,Grade Level,Interest Area,GE Applicants Per Seat,GE Filled?,SWD Applicants Per Seat,SWD Filled?,Percent of Offers to Students in the First Priority Group,English Course Grade,Math Course Grade,Social Studies Course Grade,Science Course Grade,English Standardized Test Score,Math Standardized Test Score,,
,International High School at Lafayette,21K337,BK,K38R - International High School,Screened: Language,9/10,Humanities & Interdisciplinary,3,N,2,N,100% of offers went Students eligible for these programs are English Language Learners,,,,,,,,
,Williamsburg Preparatory School,14K561,BK,K39X - Williamsburg Preparatory School,Limited Unscreened,9/10,Humanities & Interdisciplinary,11,Y,9,Y,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Brooklyn Academy of Science and the Environment,17K547,BK,K41A - Science Exploration Program,Limited Unscreened,9/10,Science & Math,4,N,4,N,97% of offers went to Brooklyn students or residents who attend an information session,,,,,,,Yes,
,Dr. Susan S. McKinney Secondary School of the Arts,13K265,BK,K42A - Visual Arts,Audition,9/10,Visual Art & Design,4,N,6,Y,8% of offers went to continuing 8th graders,55,58,55,55,1.8,1.8,,Yes
,Dr. Susan S. McKinney Secondary School of the Arts,13K265,BK,K42B - Vocal Music,Audition,9/10,Performing Arts,4,N,4,N,15% of offers went to continuing 8th graders,65,55,60,55,1.7,1.6,,Yes
,Dr. Susan S. McKinney Secondary School of the Arts,13K265,BK,K42C - Dance,Audition,9/10,Performing Arts,5,Y,5,Y,8% of offers went to continuing 8th graders,62,55,65,55,1.9,1.8,,Yes
,Dr. Susan S. McKinney Secondary School of the Arts,13K265,BK,K42D - Drama,Audition,9/10,Performing Arts,3,N,2,N,15% of offers went to continuing 8th graders,63,60,55,55,1.8,1.7,,Yes
,Dr. Susan S. McKinney Secondary School of the Arts,13K265,BK,K42E - Instrumental Music,Audition,9/10,Performing Arts,2,N,3,N,14% of offers went to continuing 8th graders,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,East New York Family Academy,19K409,BK,K45A - East New York Family Academy,Screened,9,Humanities & Interdisciplinary,8,Y,9,Y,25% of offers went to continuing 8th graders,55,55,55,55,1.8,1.6,,Yes
,Brooklyn High School of the Arts,15K656,BK,K47J - Art,Audition*,9/10,Visual Art & Design,5,Y,7,Y,100% of offers went to Brooklyn students or residents,,,,,,,,Yes
