Bookmarked Schools,Program Information,,,,,,,Program Demand,,,,Program Priorities,Selection Criteria (previous year's minimum grades),,,,,,Demonstrated Interest Used?,Additional Requirements?
,School Name,School DBN,Borough,Program Code and Name,Admissions Method,Grade Level,Interest Area,GE Applicants Per Seat,GE Filled?,SWD Applicants Per Seat,SWD Filled?,Percent of Offers to Students in the First Priority Group,English Course Grade,Math Course Grade,Social Studies Course Grade,Science Course Grade,English Standardized Test Score,Math Standardized Test Score,,
,W.E.B. DuBois Academic High School,17K489,BK,L71A - W.E.B. DuBois Academic High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,Yes,
,Liberation Diploma Plus High School,21K728,BK,L72A - Liberation Diploma Plus High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,Yes,
,Professional Pathways High School,22K630,BK,L73A - Professional Pathways High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,Yes,
,Metropolitan Diploma Plus High School,23K647,BK,L74A - Metropolitan Diploma Plus High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,Yes,
,"Urban Assembly School of Design and Construction, The",02M300,M,M44X - Urban Assembly School of Design and Construction,Limited Unscreened,9,Architecture,3,N,5,N,16% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Academy for Social Action,05M367,M,M01A - Academy for Social Action: A College Board School,Limited Unscreened,9,Humanities & Interdisciplinary,2,N,5,N,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Professional Performing Arts High School (PPAS),02M408,M,M81J - Drama,Audition,9/10,Performing Arts,14,Y,7,N,23% of offers went to continuing 8th graders,80,70,73,74,2.3,2.0,,
,Urban Assembly School for the Performing Arts,05M369,M,M04A - Urban Assembly School for the Performing Arts,Limited Unscreened,9/10,Performing Arts,5,N,6,Y,67% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Manhattan Early College School for Advertising,02M280,M,M73A - Manhattan Early College School for Advertising,Limited Unscreened,9/10,Communications,6,Y,6,Y,23% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,
,City College Academy of the Arts,06M293,M,M06A - City College Academy of the Arts,Screened,9/10,Humanities & Interdisciplinary,32,Y,19,Y,81% of offers went to continuing 8th graders,81,83,81,82,2.0,1.9,,Yes
,Community Health Academy of the Heights,06M346,M,M07A - Community Health Academy of the Heights,Limited Unscreened,9,Humanities & Interdisciplinary,7,Y,11,Y,87% of offers went to continuing 8th graders,,,,,,,Yes,
,The Maxine Greene High School for Imaginative Inquiry,03M299,M,"M11R - High School for Arts, Imagination and Inquiry",Limited Unscreened,9/10,Humanities & Interdisciplinary,7,Y,8,Y,99% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,High School of Arts and Technology,03M494,M,M12A - Arts & Technology,Ed. Opt.,9/10,Visual Art & Design,16,Y,21,Y,N/A: Open to New York City residents,,,,,,,,
,High School of Arts and Technology,03M494,M,M12B - Digital Media,Limited Unscreened,9,Computer Science & Technology,10,Y,11,Y,30% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,"High School for Law, Advocacy and Community Justice",03M492,M,"M14A - Law, Advocacy and Community Justice High School",Ed. Opt.,9/10,Law & Government,10,Y,9,Y,N/A: Open to New York City residents,,,,,,,,
,Manhattan Center for Science and Mathematics,04M435,M,M16J - Science & Mathematics Research,Screened,9/10,Science & Math,11,Y,4,Y,2% of offers went to students attending Isaac Newton Middle School for Math & Science,79,80,80,79,2.3,2.7,,Yes
,Manhattan Center for Science and Mathematics,04M435,M,M16K - Bilingual Spanish Science & Mathematics,Screened: Language & Academics,9/10,Science & Math,7,Y,3,N,100% of offers went to students whose home language is Spanish,70,68,65,70,1.6,1.5,,Yes
,Park East High School,04M495,M,M17J - Park East High School,Screened,9/10,Humanities & Interdisciplinary,23,Y,21,N,98% of offers went to Manhattan students or residents,66,68,68,65,1.9,1.9,Yes,Yes
,Murray Hill Academy,02M432,M,A19A - Murray Hill Academy,Limited Unscreened,9/10,Humanities & Interdisciplinary,6,N,8,N,28% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,
,A. Philip Randolph Campus High School,06M540,M,M19B - Academic Professions,Ed. Opt.,9,Humanities & Interdisciplinary,7,Y,12,N,N/A: Open to New York City residents,,,,,,,,
,A. Philip Randolph Campus High School,06M540,M,M19C - The Academy of the Humanities,Screened,9,Humanities & Interdisciplinary,6,N,5,Y,N/A: Open to New York City residents,55,55,55,55,1.8,1.6,,Yes
,A. Philip Randolph Campus High School,06M540,M,M19J - The Academy of Engineering,Screened,9,Engineering,3,N,4,N,N/A: Open to New York City residents,60,62,65,60,1.8,1.7,,Yes
,A. Philip Randolph Campus High School,06M540,M,M19K - The Academy of Medicine,Screened,9,Health Professions,3,N,2,N,N/A: Open to New York City residents,65,64,65,65,1.8,1.7,,Yes
,A. Philip Randolph Campus High School,06M540,M,M19L - Dual Language Spanish Program,Screened: Language,9,Humanities & Interdisciplinary,4,N,2,N,N/A,,,,,,,,
,Professional Performing Arts High School (PPAS),02M408,M,M81H - Musical Theatre,Audition,9/10,Performing Arts,10,Y,6,N,34% of offers went to continuing 8th graders,85,83,85,85,2.2,2.6,,Yes
,Chelsea Career and Technical Education High School,02M615,M,M67B - Chelsea Technical Academy/Cisco,Screened,9/10,Computer Science & Technology,25,Y,26,Y,38% of offers went to Manhattan students or residents,70,67,65,70,1.9,1.9,,
,"Urban Assembly School for Media Studies, The",03M307,M,M22X - The Urban Assembly School for Media Studies,Limited Unscreened,9/10,Communications,3,N,3,N,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Business Of Sports School (BOSS),02M393,M,A14A - The Business of Sports School,Limited Unscreened,9/10,Business,10,Y,13,Y,38% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,
,NYC Museum School,02M414,M,M85A - NYC Museum School,Screened,9/10,Humanities & Interdisciplinary,20,Y,7,N,39% of offers went to District 2 students or residents,82,80,85,84,2.6,2.8,,
,The Urban Assembly School for Emergency Management,02M135,M,M28A - The Urban Assembly School for Emergency Management,Limited Unscreened,9,Law & Government,2,N,3,N,39% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,Yes
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,M,M26A - Drama,Audition*,9/10,Performing Arts,2,N,2,N,No offers went to continuing 8th graders,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,M,M26D - Dance,Audition*,9/10,Performing Arts,1,N,2,N,No offers went to continuing 8th graders,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,M,M26J - Visual Arts,Audition*,9/10,Visual Art & Design,3,N,4,N,No offers went to continuing 8th graders,55,55,60,55,1.8,1.5,,Yes
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,M,M26M - Instrumental Music,Audition*,9/10,Performing Arts,1,N,1,N,No offers went to continuing 8th graders,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,M,M26R - Vocal Music,Audition*,9/10,Performing Arts,2,N,1,N,No offers went to continuing 8th graders,55,55,65,55,1.7,1.6,,Yes
,Wadleigh Secondary School for the Performing & Visual Arts,03M415,M,M26W - Wadleigh Secondary,Limited Unscreened,9/10,Humanities & Interdisciplinary,1,N,2,N,56% of offers went to continuing 8th graders,,,,,,,Yes,
,Marta Valle High School,01M509,M,M27A - Marta Valle High School,Ed. Opt.,9/10,Humanities & Interdisciplinary,1,N,2,N,24% of offers went to District 1 students or residents,,,,,,,,
,Millennium High School,02M418,M,M25A - Millennium High School,Screened,9/10,Humanities & Interdisciplinary,25,Y,7,N,39% of offers went to students who live or attend school south of East Houston or West Houston Street,87,88,89,90,2.9,3.3,,
,"New Explorations into Science, Technology and Math High School (NEST+m)",01M539,M,"M29A - Science, Technology and Math Institute",Screened,9/10,Science & Math,23,Y,4,N,22% of offers went to continuing 8th graders,83,85,85,85,2.7,3.3,,Yes
,High School for Media and Communications,06M463,M,M30A - Media and Communications Institute,Ed. Opt.,9,Communications,3,N,4,N,43% of offers went to District 6 students or residents,,,,,,,,
,High School for Law and Public Service,06M467,M,M31A - Law and Public Service,Ed. Opt.,9,Law & Government,4,N,5,N,49% of offers went to District 6 students or residents,,,,,,,,
,The College Academy,06M462,M,M32A - The College Academy,Ed. Opt.,9/10,Humanities & Interdisciplinary,5,N,6,Y,44% of offers went to District 6 students or residents,,,,,,,,
,High School for Health Careers and Sciences,06M468,M,M33A - Health Careers & Sciences,Ed. Opt.,9/10,Science & Math,4,N,4,N,46% of offers went to District 6 students or residents,,,,,,,Yes,
,Manhattan Business Academy,02M392,M,A12A - Manhattan Business Academy,Limited Unscreened,9/10,Business,14,Y,14,Y,43% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,
,University Neighborhood High School,01M448,M,M35A - University Neighborhood High School,Ed. Opt.,9/10,Science & Math,8,Y,7,Y,N/A: Open to New York City residents,,,,,,,,
,University Neighborhood High School,01M448,M,M35B - Bilingual Mandarin,Screened: Language,9/10,Business,2,N,1,N,100% of offers went to students whose home language is Chinese (Mandarin),,,,,,,,
,University Neighborhood High School,01M448,M,M35C - University Neighborhood Early College,Screened,9/10,Business,5,N,3,N,N/A: Open to New York City residents,65,60,65,65,1.8,1.9,,Yes
,Stephen T. Mather Building Arts & Craftsmanship High School,02M139,M,M18A - Building Arts & Historic Preservation,Limited Unscreened,9/10,Architecture,4,N,9,Y,43% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,
,High School of Hospitality Management,02M296,M,M36X - High School of Hospitality Management,Limited Unscreened,9,"Hospitality, Travel and Tourism",7,Y,7,N,46% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,“47” The American Sign Language and English Secondary School,02M047,M,M54A - English/American Sign Language Dual Language Environment,Screened,9/10,Humanities & Interdisciplinary,3,N,4,N,5% of offers went to “47” American Sign Language & English Lower School students,65,64,65,63,1.8,1.7,,
,Frederick Douglass Academy II Secondary School,03M860,M,M39A - The Douglass STEM Institute,Ed. Opt.,9,Science & Math,5,N,9,Y,29% of offers went to Districts 3 and 5 students or residents,,,,,,,,Yes
,Frederick Douglass Academy II Secondary School,03M860,M,M39B - The Douglass STEM Institute,For Continuing 8th Graders,9/10,Science & Math,N/A,N/A,N/A,N/A,100% of offers went to continuing 8th graders,,,,,,,,
,School of the Future High School,02M413,M,M83A - School of the Future,Screened,9/10,Humanities & Interdisciplinary,16,Y,11,Y,51% of offers went to continuing 8th graders,75,72,80,76,2.0,2.0,,
,Urban Assembly New York Harbor School,02M551,M,K51B - Marine Technology,Limited Unscreened,9/10,Science & Math,5,N,7,Y,51% of offers went to New York City residents who attend an information session,,,,,,,Yes,
,Chelsea Career and Technical Education High School,02M615,M,M67E - Graphic Design,Ed. Opt.,9/10,Visual Art & Design,9,Y,12,Y,54% of offers went to Manhattan students or residents,,,,,,,,
,"Clinton School Writers & Artists, M.S. 260",02M260,M,M64A - M.S. 260 Clinton School Writers & Artists,Screened,9/10,Humanities & Interdisciplinary,19,Y,9,Y,57% of offers went to continuing 8th graders,87,83,90,88,2.8,2.8,,Yes
,Professional Performing Arts High School (PPAS),02M408,M,M81N - Dance,Audition,9/10,Performing Arts,10,Y,3,N,6% of offers went to continuing 8th graders,77,79,76,73,2.0,2.1,,Yes
,Union Square Academy for Health Sciences,02M533,M,A33A - Pharmacy Technician,Limited Unscreened,9,Health Professions,7,Y,7,N,6% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,Yes
,Urban Assembly New York Harbor School,02M551,M,K51A - Marine Science,Limited Unscreened,9/10,Science & Math,4,Y,5,Y,60% of offers went to New York City residents who attend an information session,,,,,,,Yes,Yes
,Life Sciences Secondary School,02M655,M,M40A - Life Sciences for New Students,Ed. Opt.,9/10,Health Professions,5,N,7,Y,62% of offers went to Manhattan students or residents,,,,,,,,Yes
,Humanities Preparatory Academy,02M605,M,M99A - Humanities Preparatory Academy,Screened,9,Humanities & Interdisciplinary,17,Y,13,N,64% of offers went to Manhattan students or residents,64,65,64,74,1.9,1.9,Yes,Yes
,Landmark High School,02M419,M,M91A - Landmark High School,Ed. Opt.,9/10,Humanities & Interdisciplinary,6,N,8,Y,68% of offers went to Manhattan students or residents,,,,,,,Yes,
,"Facing History School, The",02M303,M,M02R - The Facing History School,Limited Unscreened,9/10,Humanities & Interdisciplinary,4,N,7,Y,7% of offers went to District 2 students or residents who attend an information session,,,,,,,Yes,
,Orchard Collegiate Academy (Henry Street School),01M292,M,M46X - Orchard Collegiate Academy,Limited Unscreened,9,Humanities & Interdisciplinary,2,N,2,N,5% of offers went to continuing 8th graders,,,,,,,Yes,
,Thurgood Marshall Academy for Learning and Social Change,05M670,M,M47A - Social Change and Community Service,Screened,9/10,Humanities & Interdisciplinary,6,Y,5,Y,34% of offers went to continuing 8th graders,63,60,65,60,1.8,1.8,,Yes
,The Urban Assembly School for Global Commerce,05M157,M,M48A - The Urban Assembly School for Global Commerce,Limited Unscreened,9/10,Business,2,N,5,N,44% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,
,Mott Hall High School,05M304,M,M49X - Mott Hall High School,Limited Unscreened,9,Science & Math,4,N,6,N,Program did not indicate attendance at information sessions for any students in this group,,,,,,,Yes,
,Lower Manhattan Arts Academy,02M308,M,M05R - Lower Manhattan Arts Academy,Limited Unscreened,9/10,Performing Arts/Visual Art & Design,13,Y,14,Y,7% of offers went to Districts 1 and 2 students or residents who attend an information session,,,,,,,Yes,Yes
,Urban Assembly Gateway School for Technology,02M507,M,A23A - UA Gateway,Limited Unscreened,9,Computer Science & Technology,13,Y,14,Y,73% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,Yes
,Bard High School Early College,01M696,M,M51A - Early College,Screened,9/10,Humanities & Interdisciplinary,28,Y,4,N,N/A: Open to New York City residents,85,85,85,86,,,,Yes
,Academy for Software Engineering (AFSE),02M546,M,A54A - Academy for Software Engineering (AFSE),Limited Unscreened,9,Computer Science & Technology,18,Y,19,Y,73% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,Yes
,Harvest Collegiate High School,02M534,M,A53A - Harvest Collegiate High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,15,Y,16,Y,74% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,
,Essex Street Academy,02M294,M,M37X - Essex Street Academy,Limited Unscreened,9/10,Humanities & Interdisciplinary,16,Y,20,Y,74% of offers went to New York City residents who attend an information session,,,,,,,Yes,Yes
,Manhattan / Hunter Science High School,03M541,M,M55A - Manhattan/Hunter Science High School,Screened,9/10,Science & Math,54,Y,13,Y,N/A: Open to New York City residents,85,85,85,84,3.2,3.3,,Yes
,Quest to Learn,02M422,M,A25A - Quest to Learn Upper School,Ed. Opt.,9,Humanities & Interdisciplinary,8,Y,9,Y,8% of offers went to District 2 students or residents,,,,,,,,Yes
,"Urban Assembly Academy of Government and Law, The",02M305,M,M65R - The Urban Assembly Academy of Government and Law,Limited Unscreened,9/10,Law & Government,10,Y,8,N,8% of offers went to Districts 1 and 2 students or residents who attend an information session,,,,,,,Yes,Yes
,Institute for Collaborative Education (ICE),02M407,M,M82A - Institute for Collaborative Education,Screened,9,Humanities & Interdisciplinary,23,Y,10,Y,87% of offers went to continuing 8th graders,Yes,Yes,Yes,Yes,,,Yes,Yes
,Eleanor Roosevelt High School,02M416,M,M21A - Eleanor Roosevelt High School,Screened,9/10,Humanities & Interdisciplinary,51,Y,14,Y,87% of offers went to District 2 students or residents,91,91,92,92,3.3,3.7,,Yes
,East Side Community School,01M450,M,M58A - East Side Community,Screened,9/10,Humanities & Interdisciplinary,20,Y,19,Y,63% of offers went to continuing 8th graders,70,70,72,75,,,Yes,Yes
,Professional Performing Arts High School (PPAS),02M408,M,M81K - Classical Vocal Music,Audition,9/10,Performing Arts,8,Y,6,N,9% of offers went to continuing 8th graders,74,68,67,73,1.8,2.0,,Yes
,Hudson High School of Learning Technologies,02M437,M,A18A - Hudson High School of Learning Technologies,Limited Unscreened,9/10,Humanities & Interdisciplinary,14,Y,16,Y,90% of offers went to Manhattan students or residents who attend an information session,,,,,,,Yes,Yes
,Baruch College Campus High School,02M411,M,M87A - Baruch College,Screened,9/10,Humanities & Interdisciplinary,59,Y,17,Y,99% of offers went to District 2 students or residents,86,85,87,90,2.7,3.2,,Yes
,Quest to Learn,02M422,M,A25B - Continuing 8th Grade Program,For Continuing 8th Graders,9,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,,Yes
,Independence High School,02M544,M,L75A - Independence High School,Limited Unscreened,9/10,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,Yes,
,Gregorio Luperon High School for Science and Mathematics,06M552,M,M62A - Bilingual Spanish Science & Mathematics,Screened: Language & Academics,9,Science & Math,3,N,1,N,N/A,N/A,61,70,65,1.5,1.5,,Yes
,"Urban Assembly School of Business for Young Women, The",02M316,M,M63B - NAF Academy of Finance and Information Technology (NAFAFIT),Limited Unscreened,9,Business,N/A,N/A,N/A,N/A,N/A: New Program,,,,,,,Yes,
,The High School of Fashion Industries,02M600,M,M68J - Art Illustration and Graphic Design,Audition*,9/10,Visual Art & Design,3,N,2,N,N/A: New Program,70,65,70,69,,,,
,The High School of Fashion Industries,02M600,M,M68L - Fashion Design and Related Fields,Audition,9/10,Visual Art & Design,N/A,N/A,N/A,N/A,N/A: New Program,Yes,Yes,Yes,Yes,,,,Yes
,The High School of Fashion Industries,02M600,M,M68M - Business Marketing and Visual Merchandising,Audition,9/10,Business,N/A,N/A,N/A,N/A,N/A: New Program,Yes,Yes,Yes,Yes,,,,
,Repertory Company High School for Theatre Arts,02M531,M,M20X - Theatre Arts,Audition: pre-registration,9/10,Performing Arts,6,Y,4,Y,N/A: Open to New York City residents,71,70,72,66,2.0,1.9,,Yes
,Richard R. Green High School of Teaching,02M580,M,M23A - Teaching Academy,Ed. Opt.,9/10,Teaching,4,N,6,N,N/A: Open to New York City residents,,,,,,,Yes,Yes
,Richard R. Green High School of Teaching,02M580,M,M23B - Liberal Arts Academy,Ed. Opt.,9/10,Humanities & Interdisciplinary,3,N,4,N,N/A: Open to New York City residents,,,,,,,Yes,Yes
,High School for Environmental Studies,02M400,M,M41C - Environmental Studies,Ed. Opt.,9/10,Humanities & Interdisciplinary,11,Y,9,Y,N/A: Open to New York City residents,,,,,,,,
,High School for Environmental Studies,02M400,M,M41D - Honors Academy,Screened,9/10,Environmental Science,40,Y,8,N,N/A: Open to New York City residents,88,85,88,87,2.6,2.8,,Yes
,Talent Unlimited High School,02M519,M,M42J - Musical Theatre,Audition*: pre-registration,9/10,Performing Arts,9,Y,5,Y,N/A: Open to New York City residents,80,71,77,78,1.9,1.8,,Yes
,Talent Unlimited High School,02M519,M,M42K - Vocal Music,Audition*: pre-registration,9/10,Performing Arts,19,Y,9,Y,N/A: Open to New York City residents,72,68,73,73,2.0,1.9,,Yes
,Talent Unlimited High School,02M519,M,M42L - Dance,Audition*: pre-registration,9/10,Performing Arts,18,Y,11,Y,N/A: Open to New York City residents,78,71,75,76,2.1,1.9,,Yes
,Talent Unlimited High School,02M519,M,M42N - Drama,Audition*: pre-registration,9/10,Performing Arts,13,Y,6,Y,N/A: Open to New York City residents,74,65,70,70,2.2,2.0,,
,Beacon High School,03M479,M,M71A - The Beacon School,Screened,9/10,Humanities & Interdisciplinary,16,Y,5,N,N/A: Open to New York City residents,88,86,88,88,3.0,3.1,,Yes
,Talent Unlimited High School,02M519,M,M42P - Instrumental Music,Audition*: pre-registration,9/10,Performing Arts,8,Y,5,Y,N/A: Open to New York City residents,70,70,71,72,2.0,1.9,,
,Jacqueline Kennedy Onassis High School,02M529,M,"M45A - Int'l Marketing, Computer Applications, Foreign Trade & Virtual Enterprise",Ed. Opt.,9/10,Humanities & Interdisciplinary,3,N,3,N,N/A: Open to New York City residents,,,,,,,,
,Frederick Douglass Academy,05M499,M,M75A - Frederick Douglass Academy for the Humanities (FDAH),Screened,9/10,Humanities & Interdisciplinary,4,Y,4,Y,19% of offers went to continuing 8th graders,65,61,65,60,1.8,1.8,,Yes
,Frederick Douglass Academy,05M499,M,"M75B - Science, Technology, Engineering, and Mathematics (STEM)",Screened,9/10,Science & Math,3,N,2,N,15% of offers went to continuing 8th graders,61,64,62,65,1.8,1.8,,Yes
,Murry Bergtraum High School for Business Careers,02M520,M,M50B - The Ninth Grade Academy,Ed. Opt.,9/10,Humanities & Interdisciplinary,2,N,3,N,N/A: Open to New York City residents,,,,,,,,
,Murry Bergtraum High School for Business Careers,02M520,M,M50C - The Blazer Early College Preparatory Academy,Screened,9,Science & Math,1,N,N/A,N,N/A: Open to New York City residents,67,63,72,65,1.9,1.8,,
,NYC iSchool,02M376,M,M52A - NYC iSchool,Screened,9/10,Humanities & Interdisciplinary,27,Y,10,Y,N/A: Open to New York City residents,84,82,84,85,2.7,2.7,,
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,M,NO CODE - Fine Art,Audition*: pre-registration,9/10,Visual Art & Design,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,85,85,85,85,2.9,3.1,,Yes
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,M,NO CODE - Dance,Audition*: pre-registration,9/10,Performing Arts,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,85,80,83,85,2.4,2.3,,Yes
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,M,NO CODE - Instrumental Music,Audition*: pre-registration,9/10,Performing Arts,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,85,85,86,86,2.7,3.1,,Yes
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,M,NO CODE - Vocal Music,Audition*: pre-registration,9/10,Performing Arts,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,85,84,85,84,2.8,2.8,,Yes
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,M,NO CODE - Drama,Audition*: pre-registration,9/10,Performing Arts,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,86,85,86,85,3.0,3.0,,Yes
,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,03M485,M,NO CODE - Technical Theatre,Audition: pre-registration,9/10,Performing Arts,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,87,85,88,87,3.0,3.1,,Yes
,New Design High School,02M543,M,M53A - New Design High School,Ed. Opt.,9,Visual Art & Design,13,Y,15,Y,N/A: Open to New York City residents,,,,,,,,Yes
,High School for Dual Language and Asian Studies,02M545,M,M59A - High School for Dual Language and Asian Studies,Screened: Language & Academics,9,Humanities & Interdisciplinary,13,Y,3,N,N/A: Open to New York City residents,80,82,80,80,1.9,2.7,,Yes
,Art and Design High School,02M630,M,M60N - Architectural Design,Audition*,9/10,Architecture,7,Y,7,N,N/A: Open to New York City residents,,,,,1.9,1.9,,Yes
,Art and Design High School,02M630,M,M60P - Commercial Art and Design,Audition*,9/10,Visual Art & Design,5,Y,5,Y,N/A: Open to New York City residents,,,,,2.0,1.9,,Yes
,Art and Design High School,02M630,M,M60Q - Film/Video Production,Audition*,9/10,Film/Video,9,Y,8,Y,N/A: Open to New York City residents,,,,,2.0,2.0,,Yes
,Gramercy Arts High School,02M374,M,M66A - Fine & Visual Arts,Audition*,9/10,Visual Art & Design,5,N,5,N,N/A: Open to New York City residents,,,,,,,,Yes
,Gramercy Arts High School,02M374,M,M66B - Performing Arts,Audition*,9/10,Performing Arts,3,N,3,N,N/A: Open to New York City residents,,,,,,,,
,High School for Health Professions and Human Services,02M420,M,M70A - Medical Science & Research,Screened,9/10,Health Professions,11,Y,4,N,N/A: Open to New York City residents,80,80,83,83,,,,Yes
,Central Park East High School,04M555,M,M86A - Central Park East,Screened,9/10,Humanities & Interdisciplinary,48,Y,26,Y,N/A: Open to New York City residents,85,85,85,85,2.0,2.2,,Yes
,High School for Health Professions and Human Services,02M420,M,M70B - Medical Assisting and Lab,Ed. Opt.,9/10,Health Professions,10,Y,7,Y,N/A: Open to New York City residents,,,,,,,,Yes
,Washington Heights Expeditionary Learning School (WHEELS),06M348,M,M88A - Washington Heights Expeditionary Learning School,Limited Unscreened,9,Humanities & Interdisciplinary,8,Y,9,Y,93% of offers went to continuing 8th graders,,,,,,,Yes,
,Coalition School for Social Change,04M409,M,M90A - Coalition School for Social Change,Ed. Opt.,9/10,Humanities & Interdisciplinary,2,N,4,N,94% of offers went to Manhattan and Bronx students or residents,,,,,,,Yes,
,Leadership and Public Service High School,02M425,M,M76A - Leadership and Public Service,Ed. Opt.,9/10,Humanities & Interdisciplinary,2,N,2,N,N/A: Open to New York City residents,,,,,,,,
,Leadership and Public Service High School,02M425,M,M76B - Business and Entrepreneurship,Ed. Opt.,9/10,Business,3,N,3,N,N/A: Open to New York City residents,,,,,,,,
,High School of Economics and Finance,02M489,M,M79A - Economics and Finance,Ed. Opt.,9,Business,10,Y,7,N,N/A: Open to New York City residents,,,,,,,Yes,Yes
,Unity Center for Urban Technologies,02M500,M,M84A - Unity Center for Urban Technologies,Ed. Opt.,9/10,Humanities & Interdisciplinary,7,N,8,N,N/A: Open to New York City residents,,,,,,,,
,Young Women’s Leadership School (TYWLS),04M610,M,M96A - Young Women’s Leadership School,Screened,9/10,Humanities & Interdisciplinary,14,Y,9,Y,51% of offers went to continuing 8th graders,80,73,80,81,2.0,2.0,,Yes
,"Heritage School, The",04M680,M,M97A - The Heritage School,Ed. Opt.,9/10,Humanities & Interdisciplinary,7,N,15,Y,65% of offers went to Manhattan students or residents,,,,,,,,
,Manhattan Village Academy,02M439,M,M94A - Manhattan Village Academy,Screened,9/10,Humanities & Interdisciplinary,40,Y,11,Y,N/A: Open to New York City residents,75,71,70,75,2.0,2.0,Yes,Yes
,"Brooklyn Latin School, The",14K449,BK,NO CODE - Brooklyn Latin,Test,9/10,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,,,,,,,,
,Queens High School for the Sciences at York College,28Q687,Q,NO CODE - Queens High School for the Sciences at York College,Test,9/10,Science & Math,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,,,,,,,,
,High School of American Studies at Lehman College,10X696,BX,NO CODE - High School of American Studies at Lehman College,Test,9/10,Humanities & Interdisciplinary,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,,,,,,,,
,Bronx High School of Science,10X445,BX,NO CODE - The Bronx High School of Science,Test,9/10,Science & Math,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,,,,,,,,
,Brooklyn Technical High School,13K430,BK,NO CODE - Science Engineering,Test,9/10,Science & Math,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,,,,,,,,
,Staten Island Technical High School,31R605,SI,NO CODE - Engineering,Test,9/10,Engineering,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,,,,,,,,
,Vanguard High School,02M449,M,M95A - College Preparatory,Ed. Opt.,9,Humanities & Interdisciplinary,13,Y,19,Y,N/A: Open to New York City residents,,,,,,,Yes,
,"High School for Mathematics, Science and Engineering at City College (HSMSE)",05M692,M,NO CODE - Pre-Engineering,Test,9/10,Engineering,N/A,N/A,N/A,N/A,N/A: Open to New York City residents,,,,,,,,
,Academy for Careers in Television and Film (ACTV),30Q301,Q,Q01A - Academy for Careers in Television and Film,Limited Unscreened,9,Film/Video,13,Y,11,Y,100% of offers went to New York City residents who attend an information session,,,,,,,Yes,
