Bookmarked Schools,School Name,School DBN,CTE School?,Career Clusters,,,,,,,,,,,,,,,
,,,,"Agriculture, Food and Natural Resources",Architecture and Construction,"Arts, A/V Technology & Communication","Business, Management & Administration",Education and Training,Government and Public Administration,Health Science,Hospitality and Tourism,Human Services,Information Technology,Law and Public Safety,Manufacturing Production,"Marketing, Sales & Service",Recording Arts Technology/Technician,Scientific Research and Engineering,"Transportation, Distribution & Logistics"
,Newtown High School,24Q455,,,,,,,,,,,New Media / E-Commerce,,Architecture,,,,
,Grover Cleveland High School,24Q485,,,STEM Academy of Pre-Engineering,Academy of Arts & Humanities Music; Academy of Arts and Humanities  Graphic Design; Academy of Arts and Humanities Theatre & Dramatics,Academy of Finance; Entrepreneurship/Virtual Enterprise,,,Academy of Allied Health and Fitness/Health and Physical Ed.; Academy of Allied Health and Fitness/Medical Technology,Academy of Travel and Tourism,,Academy of Information Technology/AOIT,,,,,,
,High School for Arts and Business,24Q550,,,,,Entrepreneurship/Virtual Enterprise,,,,,,,,Graphic Design,,,,
,Queens Vocational and Technical High School,24Q600,Yes,,Electrician; Plumbing,,Virtual Enterprise/Entrepreneurship,,,,,,A+ Computer Repair; Computer Graphics,,,Cosmetology,,Electrical Engineering; Software Engineering Pilot,
,Aviation Career & Technical Education High School,24Q610,Yes,,,,,,,,,,,,,,,,Aviation Maintenance Technology
,John Bowne High School,25Q425,,Plant and Animal Science,,,,,,,,,,,,,,,
,Flushing High School,25Q460,,,,,Entrepreneurship/Virtual Enterprise; Marketing,,,,,,,Law Academy/Legal Studies; Law Enforcement Academy,,,,,
,Townsend Harris High School,25Q525,,,,Media Journalism,,,,,,,,Law Academy/Legal Studies,Robotics,,,Bio Med Technology,
,Business Technology Early College High School (BTECH),26Q315,Yes,,,,Computer Science and Technology (Proposed Program),,,,,,,,,,,,
,Francis Lewis High School,26Q430,,,,,Entrepreneurship/Virtual Enterprise,,,,,,,Law Academy/Legal Studies,,,,Engineering/Robotics,
,Bayside High School,26Q495,,Environmental Science Research and Technology,,Digital Art/Digital Communication,,,Humanities and Historical Research,,Athletic Training/Sports Medicine,,Computer Programming,,,,Audio Engineer/Music Production,,
,"Queens High School for Information, Research, and Technology",27Q302,,,,,,,,,,,Computer Information Technology,,,,,,
,August Martin High School,27Q400,,,,,,,,,,,,Law Academy/Legal Studies,,,,,
,Richmond Hill High School,27Q475,,,,,,,,,,,,Law Academy/Legal Studies,,,,,
,John Adams High School,27Q480,,,,,,,,,,,,Law Academy/Legal Studies,,,,,
,"High School for Construction Trades, Engineering and Architecture",27Q650,Yes,,Construction Technology,,,,,,,,,,Architecture,,,Engineering,
,Forest Hills High School,28Q440,,,,,Entrepreneurship/Virtual Enterprise,,,,,,,Law Academy/Legal Studies,,,,,
,Hillcrest High School,28Q505,,,,,Business Institute/Virtual Enterprise,,,EMT; Medical Assistant; Nursing Assistant,,,,Law Academy/Legal Studies,CADD,,,,
,Thomas A. Edison Career and Technical Education High School,28Q620,Yes,,Electrician,Commercial Arts and Illustration,,,,Medical Lab and Allied Health Pro,,,A+ Computer Repair; CISCO Networking Academy; Web Design,,Graphic Arts; Mechanical Drafting; Robotics,,,,Automotive Technology; Collision Repair
,Institute for Health Professions at Cambria Heights,29Q243,Yes,,,,,,,EMT Emergency Care Attendant (EMT Ambulance); Nursing Assistant,,,,,,,,,
,George Washington Carver High School for the Sciences,29Q272,,,,,,,,Veterinary Science,,,,,,,,,
,Benjamin Franklin High School for Finance & Information Technology,29Q313,Yes,,,,Academy of Finance,,,,,,Academy of Information Technology,,,,,,
,Cambria Heights Academy,29Q326,,,,,,,,,,,,,,,,Software Engineering Pilot,
,Energy Tech High School,30Q258,Yes,,,,,,,,,,,,,,,Energy Technology,
,Academy for Careers in Television and Film (ACTV),30Q301,Yes,,,Film and Video Production,,,,,,,,,,,,,
,William Cullen Bryant High School,30Q445,,,,,Entrepreneurship/Virtual Enterprise,,,,,,,Law Academy/Legal Studies,,,,,
,Long Island City High School,30Q450,,,,,,,,,Academy of Hospitality and Tourism; Culinary Arts,,,,,,,,
,Frank Sinatra School of the Arts High School,30Q501,,,,Dance; Drama,,,,,,,,,,,,,
,Information Technology High School,30Q502,,,,Film and Video Production,,,,,,,Apple Certification; Cisco Networking Academy; Web Design Academy,,,,,,
,New Dorp High School,31R440,,,,Digital Communication,Entrepreneurship,,,,Culinary Arts,,,Law Academy/Legal Studies,,,,Software Engineering Pilot,
,Port Richmond High School,31R445,,,,,Entrepreneurship/Virtual Enterprise,,,,Academy of Hospitality and Tourism; Culinary Arts,,,,,,,Bio Med Technology,
,Curtis High School,31R450,,,,Dance; Media Studies,,,,Nursing Assistant; Practical Nursing,,,New Media,Law Enforcement Academy,Graphic Design,,,,
,Tottenville High School,31R455,,,,Advertising/Virtual Enterprise,Academy of Finance,,,Dental Laboratory Technology/Technician; Dental Office Careers; Medical Lab and Allied Health Pro,Culinary Arts,,CISCO Networking Academy,Law Academy/Legal Studies,,,,,Automotive Technology
,Susan E. Wagner High School,31R460,,,,,Academy of Finance; Virtual Enterprise/Entrepreneurship,,,,,,,Law Academy/Legal Studies,,,,,
,Ralph R. McKee Career and Technical Education High School,31R600,Yes,,Architectural Drafting; Carpentry,,,,,,,,CISCO Networking Academy,,Graphic Design,Cosmetology,,Software Engineering Pilot,Automotive Technology
,Staten Island Technical High School,31R605,,,,,,,,,,,,,,,,Pre-Engineering,
