Bookmarked Schools,School Name,School DBN,AP Courses Offered,,,,,,,,,,,,
,,,Arts,English,Government,History,Languages,Math,Science,Social Science,,,,,
,High School for Law Enforcement and Public Safety,28Q690,,English,,US History,,,Environmental Science,,,,,,
,"High School for Law, Advocacy and Community Justice",03M492,,English,,"US History, World History",Spanish,,Environmental Science,Psychology,,,,,
,"High School for Mathematics, Science and Engineering at City College (HSMSE)",05M692,,English,,World History,German,"Calculus, Computer Science","Chemistry, Environmental Science",,,,,,
,High School for Media and Communications,06M463,,English,US Government and Politics,,,,,,,,,,
,High School for Medical Professions,18K633,,English,,,,Calculus,Biology,Psychology,,,,,
,High School for Public Service: Heroes of Tomorrow,17K546,,English,,"US History, World History",,,Biology,,,,,,
,High School for Service & Learning at Erasmus,17K539,,English,,,,,Biology,,,,,,
,High School for Teaching and the Professions,10X433,,English,,,Spanish,,,,,,,,
,High School for Violin and Dance,09X543,,English,,,,,,,,,,,
,High School for Youth and Community Development at Erasmus,17K537,,,US Government and Politics,,,,Environmental Science,,,,,,
,High School of American Studies at Lehman College,10X696,,English,,"US History, World History",Spanish,Calculus,Chemistry,,,,,,
,High School of Applied Communication,24Q267,,English,,US History,,,,Human Geography,,,,,
,High School of Arts and Technology,03M494,,,,US History,,,"Biology, Environmental Science",Psychology,,,,,
,High School of Computers and Technology,11X275,,English,,US History,,,,,,,,,
,High School of Economics and Finance,02M489,,English,,"European History, US History",Spanish,Calculus,"Biology, Environmental Science",,,,,,
,High School of Hospitality Management,02M296,,English,,,,,,,,,,,
,High School of Language and Innovation,11X509,,,,,Spanish,,,,,,,,
,High School of Sports Management,21K348,,,,,,Calculus,,,,,,,
,High School of Telecommunication Arts and Technology,20K485,,English,,"US History, World History",,"Calculus, Statistics","Biology, Chemistry, Physics",,,,,,
,High School of World Cultures,12X550,,,,,Spanish,,,,,,,,
,Hillcrest High School,28Q505,Art History,English,,World History,"French, Spanish",Calculus,"Biology, Environmental Science",,,,,,
,Hillside Arts & Letters Academy,28Q325,,English,,,,Statistics,Biology,,,,,,
,Holcombe L. Rucker School of Community Research,08X332,,English,,,,,,,,,,,
,Humanities & Arts Magnet High School,29Q498,Studio Art,English,,US History,,,,,,,,,
,Information Technology High School,30Q502,,English,,,,Calculus,,,,,,,
,In-Tech Academy (M.S. / High School 368),10X368,,English,,"US History, World History",Spanish,Statistics,,,,,,,
,International School for Liberal Arts,10X342,Studio Art,English,,,Spanish,Calculus,,,,,,,
,It Takes a Village Academy,18K563,,English,US Government and Politics,US History,,,Biology,,,,,,
,Jacqueline Kennedy Onassis High School,02M529,,English,,US History,Spanish,Calculus,Biology,,,,,,
,Jamaica Gateway to the Sciences,28Q350,,English,,US History,,Calculus,Biology,,,,,,
,James Madison High School,22K425,,English,US Government and Politics,World History,Spanish,"Calculus, Computer Science, Statistics","Biology, Chemistry, Environmental Science","Economics, Human Geography",,,,,
,John Adams High School,27Q480,Music Theory,English,US Government and Politics,US History,Spanish,,"Biology, Chemistry, Environmental Science, Physics",,,,,,
,John Bowne High School,25Q425,,English,US Government and Politics,"European History, US History","Chinese, Spanish","Calculus, Computer Science","Biology, Chemistry, Physics",Economics,,,,,
,John Dewey High School,21K540,Art History,English,,"US History, World History","Chinese, Spanish","Calculus, Computer Science, Statistics","Biology, Chemistry, Environmental Science, Physics",Psychology,,,,,
,John Jay School for Law (Secondary School for Law),15K462,,English,,US History,,,"Biology, Environmental Science",,,,,,
,Juan Morel Campos Secondary School,14K071,,English,,,Spanish,,,,,,,,
,Kingsborough Early College School,21K468,,,,,,Calculus,,,,,,,
,Leadership and Public Service High School,02M425,Art History,English,US Government and Politics,"US History, World History",Spanish,Calculus,Environmental Science,,,,,,
,Leadership Institute,09X276,,English,,,Spanish,,,,,,,,
,Leon M. Goldstein High School for the Sciences,22K535,Music Theory,English,US Government and Politics,"US History, World History",Spanish,"Calculus, Statistics","Biology, Chemistry, Physics",Economics,,,,,
,Life Sciences Secondary School,02M655,,English,US Government and Politics,World History,,Calculus,Biology,,,,,,
,Long Island City High School,30Q450,"Art History, Studio Art",English,US Government and Politics,"US History, World History",Spanish,"Calculus, Statistics","Biology, Chemistry, Environmental Science",Psychology,,,,,
,M.S. 223 The Laboratory School of Finance and Technology,07X223,,English,,,,,,,,,,,
,Manhattan Bridges High School,02M542,,English,,,Spanish,,Environmental Science,Economics,,,,,
,Manhattan Center for Science and Mathematics,04M435,,English,,"US History, World History",Spanish,"Calculus, Computer Science, Statistics","Biology, Chemistry, Environmental Science, Physics",,,,,,
,Manhattan Village Academy,02M439,,English,,"European History, US History, World History",,Calculus,Biology,"Economics, Psychology",,,,,
,Marble Hill High School for International Studies,10X477,,English,,"European History, US History",,Calculus,Biology,,,,,,
,Martin Van Buren High School,26Q435,Studio Art,English,,"US History, World History",Spanish,Calculus,Biology,,,,,,
,Maspeth High School,24Q585,Studio Art,English,US Government and Politics,"US History, World History",Latin,Calculus,"Biology, Physics","Economics, Psychology",,,,,
,"Mathematics, Science Research and Technology Magnet High School",29Q492,,English,,US History,,,Biology,,,,,,
,Medgar Evers College Preparatory School,17K590,,English,"Comparative Government and Politics, US Government and Politics","US History, World History",Chinese,"Calculus, Computer Science, Statistics","Biology, Chemistry, Environmental Science, Physics",Human Geography,,,,,
,Metropolitan Expeditionary Learning School,28Q167,,,US Government and Politics,,Spanish,Calculus,Biology,,,,,,
,"Metropolitan High School, The",12X248,,English,,US History,,,,,,,,,
,Midwood High School,22K405,Art History,English,US Government and Politics,"European History, US History, World History",,"Calculus, Computer Science, Statistics","Biology, Chemistry, Environmental Science, Physics","Economics, Human Geography, Psychology",,,,,
,Millennium Art Academy,08X312,,English,,,,Calculus,,,,,,,
,Millennium Brooklyn HS,15K684,,English,,US History,"French, Spanish",,"Chemistry, Environmental Science",Psychology,,,,,
,Millennium High School,02M418,Studio Art,English,,"US History, World History",,Calculus,,,,,,,
,Mott Hall V,12X242,,English,,US History,,Calculus,,Psychology,,,,,
,Mott Haven Village Preparatory High School,07X473,,English,,US History,,,,,,,,,
,Multicultural High School,19K583,,English,,,Spanish,,Environmental Science,Human Geography,,,,,
,Murry Bergtraum High School for Business Careers,02M520,,English,,,"Chinese, Spanish",,,,,,,,
,New Design High School,02M543,,English,,US History,,,,,,,,,
,New Dorp High School,31R440,,English,,"US History, World History",,"Calculus, Computer Science",Biology,,,,,,
,"New Explorations into Science, Technology and Math High School (NEST+m)",01M539,,English,,"European History, US History, World History","Chinese, Spanish",Calculus,"Biology, Chemistry, Physics","Economics, Psychology",,,,,
,New Explorers High School,07X547,,English,,,,,,Psychology,,,,,
,New Utrecht High School,20K445,,English,US Government and Politics,"US History, World History",,"Calculus, Statistics","Biology, Chemistry, Physics","Economics, Psychology",,,,,
,Newcomers High School,30Q555,,,US Government and Politics,,"Chinese, Spanish",Calculus,,,,,,,
,Newtown High School,24Q455,,English,,,"Chinese, Spanish",Calculus,Biology,,,,,,
,NYC iSchool,02M376,,English,,"US History, World History",,Calculus,Environmental Science,,,,,,
,NYC Lab School for Collaborative Studies,02M412,,English,US Government and Politics,US History,Spanish,"Calculus, Statistics",Environmental Science,Psychology,,,,,
,NYC Museum School,02M414,,,,US History,,Calculus,"Biology, Environmental Science",,,,,,
,Orchard Collegiate Academy (Henry Street School),01M292,,,,US History,,,,,,,,,
,Pablo Neruda Academy,08X305,,,,US History,,,Physics,Human Geography,,,,,
,Pace High School,02M298,,,,US History,,,Environmental Science,,,,,,
,Pan American International High School,24Q296,,,,,Spanish,,Environmental Science,,,,,,
,Pan American International High School at Monroe,12X388,,English,,,Spanish,,,,,,,,
,Park East High School,04M495,,English,,"European History, US History",Spanish,Calculus,Environmental Science,,,,,,
,Pathways College Preparatory School: A College Board School,29Q259,,English,,US History,,,,Economics,,,,,
,Pelham Preparatory Academy,11X542,,English,,,Spanish,,Environmental Science,,,,,,
,Performing Arts and Technology High School,19K507,,English,,,,Calculus,Biology,,,,,,
,Port Richmond High School,31R445,,English,US Government and Politics,World History,,"Calculus, Statistics","Biology, Environmental Science",Psychology,,,,,
,Preparatory Academy for Writers: A College Board School,29Q283,,English,,"US History, World History",,Statistics,"Biology, Environmental Science",,,,,,
,Professional Performing Arts High School (PPAS),02M408,,English,,US History,,,Biology,,,,,,
,Queens Collegiate: A College Board School,28Q310,,English,,US History,,,Biology,Psychology,,,,,
,Queens Gateway to Health Sciences Secondary School,28Q680,,English,US Government and Politics,"US History, World History",,,"Biology, Chemistry, Environmental Science, Physics","Economics, Psychology",,,,,
,Queens High School for Language Studies,25Q241,,,,US History,Chinese,Statistics,,,,,,,
,Queens High School for the Sciences at York College,28Q687,,English,US Government and Politics,"US History, World History","Chinese, Spanish","Calculus, Statistics","Biology, Chemistry, Environmental Science, Physics",,,,,,
,"Queens High School of Teaching, Liberal Arts and the Sciences",26Q566,,English,,US History,,Statistics,,,,,,,
,Queens Metropolitan High School,28Q686,,English,US Government and Politics,"European History, US History",Spanish,Calculus,Biology,,,,,,
,Queens Preparatory Academy,29Q248,,English,,"US History, World History",,,Biology,,,,,,
,"Queens School of Inquiry, The",25Q252,,,,,,,Biology,Psychology,,,,,
,Queens Vocational and Technical High School,24Q600,,English,,European History,,Calculus,"Environmental Science, Physics",,,,,,
,Quest to Learn,02M422,,English,,,,Calculus,Biology,,,,,,
,Rachel Carson High School for Coastal Studies,21K344,,English,US Government and Politics,,,Calculus,Biology,,,,,,
,Ralph R. McKee Career and Technical Education High School,31R600,,English,,,,,,,,,,,
,Renaissance High School for Musical Theater & Technology,08X293,,,US Government and Politics,World History,,,,,,,,,
,Repertory Company High School for Theatre Arts,02M531,Music Theory,English,,US History,,Calculus,"Biology, Environmental Science",,,,,,
,Richard R. Green High School of Teaching,02M580,,English,US Government and Politics,US History,,,,,,,,,
,Richmond Hill High School,27Q475,,English,,,Spanish,Calculus,Biology,,,,,,
,Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),10X141,Studio Art,English,,US History,Spanish,"Calculus, Statistics",Biology,Psychology,,,,,
,Robert F. Kennedy Community High School,25Q670,,,,,Spanish,Calculus,,,,,,,
,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",24Q560,,English,,US History,,,,,,,,,
,Robert H. Goddard High School of Communication Arts and Technology,27Q308,,English,,"US History, World History",Spanish,,Environmental Science,Psychology,,,,,
,Rockaway Collegiate High School,27Q351,,English,,,,Statistics,Environmental Science,,,,,,
,Rockaway Park High School for Environmental Sustainability,27Q324,,English,,US History,,,Environmental Science,Psychology,,,,,
,Scholars' Academy,27Q323,"Art History, Music Theory",English,,"US History, World History",,Calculus,"Biology, Chemistry, Physics",Psychology,,,,,
,School for International Studies,15K497,,English,,,,,,,,,,,
,School for Legal Studies,14K477,,English,,US History,,,,,,,,,
,School of the Future High School,02M413,,English,,,,,Environmental Science,,,,,,
,"Science Skills Center High School for Science, Technology and the Creative Arts",13K419,Music Theory,English,,US History,,"Calculus, Computer Science","Biology, Environmental Science",Psychology,,,,,
,"Science, Technology and Research Early College High School at Erasmus (STAR)",17K543,,English,US Government and Politics,,,Calculus,Biology,,,,,,
,South Bronx Preparatory: A College Board School,07X221,,English,US Government and Politics,,,,,Psychology,,,,,
,Staten Island Technical High School,31R605,,English,US Government and Politics,"US History, World History",,"Calculus, Statistics","Biology, Chemistry, Environmental Science, Physics","Economics, Psychology",,,,,
,Stuyvesant High School,02M475,Music Theory,English,Comparative Government and Politics,European History,"Chinese, French, Italian, Japanese, Latin, Spanish","Calculus, Computer Science, Statistics","Biology, Chemistry, Environmental Science, Physics","Economics, Human Geography, Psychology",,,,,
,Sunset Park High School,15K667,,,,World History,Spanish,,,,,,,,
,Susan E. Wagner High School,31R460,,English,US Government and Politics,"US History, World History","French, Spanish",Calculus,Biology,Human Geography,,,,,
,Talent Unlimited High School,02M519,,English,,US History,,,,,,,,,
,Teachers Preparatory High School,23K697,,English,,,,,,,,,,,
,The Bronxwood Preparatory Academy,11X514,,English,,US History,,,,,,,,,
,The Brooklyn School for Math and Research (BSMARt),32K168,,English,,,,Statistics,Biology,,,,,,
,The Cinema School,12X478,,English,,,,,,,,,,,
,The College Academy,06M462,,English,,US History,,,"Biology, Environmental Science",,,,,,
,The Global Learning Collaborative,03M403,,English,,,,Calculus,,,,,,,
,"The High School for Enterprise, Business and Technology",14K478,Music Theory,English,,"US History, World History",,"Calculus, Statistics","Biology, Chemistry",,,,,,
,The High School for Global Citizenship,17K528,,English,,World History,,,Chemistry,,,,,,
,The High School For Language And Diplomacy,02M399,,English,,,French,Calculus,,,,,,,
,The High School of Fashion Industries,02M600,,English,US Government and Politics,US History,Spanish,Calculus,Biology,,,,,,
,"The Marie Curie School for Medicine, Nursing, and Health Professions",10X237,,English,,US History,Spanish,Statistics,Biology,,,,,,
,The Maxine Greene High School for Imaginative Inquiry,03M299,,,US Government and Politics,US History,,,,,,,,,
,The Metropolitan Soundview High School,12X521,,English,,,,Calculus,,,,,,,
,The Michael J. Petrides School,31R080,,English,,World History,,"Calculus, Statistics",Biology,,,,,,
,The School for Human Rights,17K531,,,,,,,Biology,,,,,,
,The Urban Assembly Bronx Academy of Letters,07X551,,English,US Government and Politics,,Spanish,,Environmental Science,,,,,,
,The Urban Assembly School for Emergency Management,02M135,,English,,,,,Environmental Science,,,,,,
,The Urban Assembly School for Global Commerce,05M157,,,,,,,,"Human Geography, Psychology",,,,,
,The Urban Assembly School for Green Careers,03M402,,English,,,,,,,,,,,
,The Urban Assembly School for Law and Justice,13K483,,English,,,,,Environmental Science,Psychology,,,,,
,Theater Arts Production Company School (TaPCO),10X225,,English,,,,,,,,,,,
